Month,Year,Killed,Cum Killed,Children Killed,Cum Children Killed
February,2022,378,378,44,44
March,2022,4313,4691,242,286
April,2022,842,5533,60,346
May,2022,589,6122,35,381
June,2022,435,6557,21,402
July,2022,390,6947,17,419
August,2022,347,7294,12,431
September,2022,415,7709,28,459
October,2022,317,8026,8,467
November,2022,189,8215,13,480
December,2022,208,8423,4,484
January,2023,205,8628,11,495
February,2023,144,8772,1,496
March,2023,183,8955,8,504
April,2023,189,9144,13,517
May,2023,178,9322,7,524
June,2023,186,9508,11,535
July,2023,165,9673,4,541
August,2023,158,9831,5,549
September,2023,145,9976,1,555
October,2023,181,10157,11,568
November,2023,113,10270,1,569
December,2023,127,10397,2,572
January,2024,169,10566,6,579
February,2024,156,10722,8,589
March,2024,130,10852,11,600
April,2024,141,10993,7,608
May,2024,182,11175,4,613
June,2024,162,11337,8,622
July,2024,248,11585,11,633
August,2024,204,11789,8,641
September,2024,215,12004,9,650
October,2024,198,12202,9,659
November,2024,174,12376,8,667
December,2024,109,12485,2,669
January,2025,148,12633,0,669
February,2025,130,12763,4,673
March,2025,178,12941,8,682
April,2025,223,13164,19,701
May,2025,191,13355,8,710
June,2025,248,13603,6,716
July,2025,311,13914,10,726
August,2025,256,14170,8,733
September,2025,216,14386,4,738
October,2025,148,14534,7,745
